timestamp,open,high,low,close,volume
2022-08-01,59.74000000,65.84000000,51.63000000,53.84000000,15408074.44900000
2022-09-01,53.83000000,67.48000000,50.01000000,53.48000000,19332739.94500000
2022-10-01,53.49000000,57.62000000,48.32000000,55.01000000,10640193.41900000
2022-11-01,55.02000000,83.66000000,47.60000000,79.16000000,40243320.19700000
2022-12-01,79.15000000,85.00000000,61.04000000,70.14000000,21862777.74600000
2023-01-01,70.14000000,97.77000000,68.91000000,94.09000000,24276770.91900000
2023-02-01,94.09000000,105.71000000,88.16000000,93.80000000,16377488.87500000
2023-03-01,93.79000000,98.37000000,65.00000000,89.57000000,30535318.34100000
2023-04-01,89.56000000,103.44000000,84.11000000,88.22000000,19064799.51500000
2023-05-01,88.24000000,95.00000000,75.20000000,90.42000000,21064238.03800000
2023-06-01,90.42000000,112.00000000,70.75000000,108.70000000,25830401.48800000
2023-07-01,108.70000000,115.00000000,91.62000000,96.88000000,14160762.12000000
